HolderAddress,Balance
0xe1cE2779A63c6Cd75B6943793285c8F4572d0726,10
0xDede458AC6317a9982E7737B162b457d649AA572,10
0xDb9B025867Ea5D1ff67e9D6C3A2B67dC8DBca07D,10
0xdB7b1a018741196B2CF9B04bc5b701de1dF37acD,10
0xD9407253dD8fB0d10B9f2e278281fE3fbEf92b2c,10
0xd17f8fe951AA9207Ee637B396aCF989258657e11,10
0xC9C5621F08620b7b50aAB7D70426ffC0f533Fa59,10
0xC8c9941f3b5d8F07C9c1E1ce04197c4A18ac076B,10
0xC5E303763376C0EC2D4307bDB2083a8A633996b0,10
0xbf52f76E016C87cBC321E1688C762F53B4d2Ae0b,10
0xbD3D8e08816F0319A10bEC64DF95DDF117894e04,10
0xB9772456644e378e4556e7f5779270655e88B339,10
0xb593fc7974a08Df2EC07Bb437F2bc76cC7B79100,10
0xAc4b597Cb1bA04e906Ab24BD3DA04fF1Afa98692,10
0xA910D55D7e170Ad8378Af516Cef082701239B86F,10
0x99B747DAb7Aae6580b6e43E8a10AF5fFCdf4A649,10
0x963B49f73509eaDF7c754DDD1C2cAD2953A7f7A0,10
0x8b778873E08f2f886C9AA010C2A817316ca79551,10
0x87dD55828B2a4F4b750aFD504a5d9d2561542564,10
0x84537e1Df3aFAd87f9f6Ca70Dbf3E84e8F648f8c,10
0x82a546157F2ca11820590b0764Efc019050A1f93,10
0x81BD482104525eC18B73507A4CA67295493FD6A1,10
0x7B464DeD7c06C63351936083FE26D72590ce2bE2,10
0x6Abe00389F23242a58821FCe88104842e1Ad1195,10
0x699699AaCbEDF14730ad8b1E63e2d5EcA30c521B,10
0x5dF92a19066d1Aa182e461f508E736a6094714Ad,10
0x5DF201Cde6aE27d5161E9E000dE0BA1eEB2eA0Ad,10
0x552ADfaC439342F1c92FD110143d5A15a96B89dB,10
0x550bBa76A46feb4BcdFEdDBC9e3ebd2B872BB5AB,10
0x507a342E1f434FC4DaeC79240208F0f29274e117,10
0x4Dfb053dF8Abf52759710d825e848Badd757a477,10
0x4baa57077940d316d783016B76B8dB1D49D14d0c,10
0x424aC08061DBcc3a2fd9fC9ec1d9BB5D9CaDabE4,10
0x3D83726B07325B7e5bf82f07e2b5B37a5EDb9B3a,10
0x284C012968E9AD8542047408ed2a9d9967f3cCAe,10
0x1BeD09c60001Da7b5cb49ace0331F77DF80a2C14,10
0x1bea7F65937b8f8FE9045a5efa119943e252674a,10
0x19D872B9161305FeD44D042658dfD989E9E5715C,10
0x17F8Fd06cf707E9CA53ad0e3Bc56704012071Bc1,10
0x17377E2d9b3D92ECa1499FF14693Da99f0CA84A8,10
0x16679B41823dFa10A92BC822cC4f52c9d7EF2df0,10
0x12030487b32854fdc6FdD33F852BAAc6Eb1D2612,10
0x0e01A23C920Ca3D2a432842451575B64577B9Dd5,10
0x0DC727D425dbAAC9AC888559E7cEA1F61b1CB3Cc,10
0x0b1cC629a84405A65FDD37762eA9117A0c600307,10
0x084b61D4E3D81A16636B7b6EF1DE08cCc70847b9,10
0xF5fC8d04a6dF8815f631D9f9fae3EA9Bfbb88c99,9
0xeC046Bd8E570deE090e9381FD7Bba3003EA1bd7B,9
0xE84BaE7F90b6d6b095192193d4F82fA7Aa1e5f59,9
0xe437c83a948D27704E961Fb0f5cc16663BBB0653,9
0xe1E8590b110A5ec1c44247F026269B2E66aa7B47,9
0xdAB0Fe1755D5E47B2044878aBeb255056c0474FC,9
0xCb634F7C233cFe06EfC914666EF02FB2211C8E38,9
0xBE3026ecA9dd524401Ceb3B703d7972497332325,9
0xBB43D0e5e880D196cF36B78b9abA35319A2d7f8A,9
0xBB24d152a26e2d3Ed0a3811D14af197736635C62,9
0xb6B94935cc48840e5Bb5a3Ac64669e55aEed4acA,9
0xA944066b37EFB05b1E1aeC3ddA58FFD5eF594421,9
0x9E3EE00fC7d3E4ec1a0FBC4E98E7Fb972c1a4BBf,9
0x9dAE723D3C757D3b3412f10CA844B3b16fD37d2C,9
0x8D1F8eFF75c95f739A8559f8240a46Fc512D714A,9
0x8D086C7d6bdAFAC560038C9b7808b4DA6c009d78,9
0x8065E184f91B59D04103FbB0B7E660E5fB774123,9
0x67feC197B5f57A19677B276215432896C98b1bBD,9
0x6744202910d67afd2B7B8517CeD14ff8a5ea8173,9
0x642149265624Fb6Af736524a09FfBe1718f077a5,9
0x5b5eE9d1AA0ed7a203dDDb0FD7C01A2E1509DBc8,9
0x521e6a213470ebB9Ce0c2544e59753a5fb177424,9
0x4Abc159E3271E2f316F7e55412ac087Bc3c52Ec3,9
0x4431ee7d6E045286960376Cf74413d72D7CDf04B,9
0x3a5F453671FDce4a182b19D776A3224D5240E730,9
0x30A6B2041768B30661924b47FE00Ed8407C17200,9
0x2AfaeDc505e34EED506041C5a5C51ccf771e6392,9
